config,seed,horizon_day,utility,gini,variance,std,completed
no_fairness,20260724,5,225813.600201038,0.3671434525446262,533425.109283756,730.3595753351605,23938
no_fairness,20260724,6,264934.9482185675,0.3756940359197847,777866.0115658477,881.9671261253719,27880
no_fairness,20260724,7,304752.86617624125,0.39066171993733034,1112421.914876555,1054.7141389383926,31813
no_fairness,20260724,14,501668.5405218853,0.43945224856004206,4007825.731388281,2001.9554768746184,51484
no_fairness,20260724,21,630719.6353469028,0.4560809403280932,7129651.447805276,2670.14071685469,64022
no_fairness,20260724,28,725453.921474204,0.44880456679439207,9240725.137545178,3039.8561047433113,73603
no_fairness,20260724,37,874475.0526716878,0.44562372015339413,12666382.445902688,3558.98615421621,87790
full,20260725,1,55463.06883626214,0.04396131841703266,1157.9512199749872,34.028682313233745,5872
full,20260725,2,108553.16338033394,0.05610754705112231,4120.641763391464,64.19222510079756,11450
full,20260725,3,157369.3971655309,0.07274438184965137,13878.072584115076,117.80523156513499,16648
full,20260725,4,196697.51426416598,0.05732341760754678,19380.91436053728,139.21535245991112,20962
full,20260725,5,246342.9857873123,0.08578482660477871,51598.04538606027,227.15203143722988,26206
full,20260725,6,299173.5679081986,0.10079925183236971,95988.36463481726,309.81989063779827,31699
full,20260725,7,352438.6057336867,0.10973007595471596,146734.75821714007,383.0597319180653,37186
full,20260725,14,685853.6174501193,0.17366156526051824,1093774.261458887,1045.8366322991785,72749
full,20260725,21,923761.2755782462,0.2022135192099257,2960054.2316212077,1720.4808140811126,97942
full,20260725,28,1099812.7713432515,0.21280551093303646,5141233.314038015,2267.42878918788,117689
full,20260725,37,1366673.5703256715,0.21730434926479925,9106765.082395636,3017.741718967287,146393
no_forecast,20260725,1,55463.06883626214,0.04396131841703266,1157.9512199749872,34.028682313233745,5872
no_forecast,20260725,2,108551.41097794159,0.05671657765122817,4211.062237956332,64.89269787854664,11449
no_forecast,20260725,3,157328.66624387496,0.06917705381506445,13192.68635641822,114.85941997249603,16636
no_forecast,20260725,4,196727.15292940056,0.0599374639790784,19702.26100717581,140.36474274965138,20950
no_forecast,20260725,5,246424.52696202756,0.0870286140328953,52605.212506846015,229.3582623470234,26203
no_forecast,20260725,6,299277.2634499662,0.1014139506504026,95653.47392831378,309.2789581079091,31699
no_forecast,20260725,7,352611.47942373826,0.1117748563016514,149934.0622994306,387.21320005835366,37193
no_forecast,20260725,14,683401.4730659882,0.18217525365041998,1193921.3468240225,1092.66707959196,72372
no_forecast,20260725,21,874611.1381244458,0.20207035871658796,2631760.6044243746,1622.2702008063807,91203
no_forecast,20260725,28,973220.8338351906,0.18489858549029536,2721493.8099385123,1649.6950657435186,100900
no_forecast,20260725,37,1135580.3237880792,0.1514140627232754,2499955.4045983776,1581.1247277170696,116026
no_fairness,20260725,1,55442.33756329924,0.22553528880073914,11972.276342139643,109.4178977230857,5818
no_fairness,20260725,2,106820.76532163247,0.2730995950581194,64674.75925650861,254.31232619853213,11237
no_fairness,20260725,3,152255.1062746178,0.3141203899035421,172447.97395483177,415.2685564244321,16076
no_fairness,20260725,4,189117.441623218,0.3444105099975179,322936.24770660116,568.2747994646614,20114
no_fairness,20260725,5,227454.14153293436,0.36601731294428697,531685.2307325933,729.1674915495022,24089
no_fairness,20260725,6,266187.83882950264,0.3742284198130983,769314.7867632796,877.1059153621526,27994
no_fairness,20260725,7,305864.68691913475,0.386082858723676,1091491.659631648,1044.7447820552386,31914
no_fairness,20260725,14,504898.3809316533,0.4209958355186938,3651537.6641665455,1910.8997001848488,51777
no_fairness,20260725,21,631417.8287652628,0.4318964208992313,6161709.6392792165,2482.2791219520855,64087
no_fairness,20260725,28,727067.2938245473,0.43261668781670015,8134193.146076778,2852.0506913581985,73787
no_fairness,20260725,37,876088.6510693252,0.43757854521577855,11758914.257726956,3429.127331804253,87974
